ZIP Code,Type,Common Cities,County
10577,Standard,Purchase,Westchester County
10578,Standard,Purdys,Westchester County
10579,Standard,Putnam Valley,Putnam County
10580,Standard,Rye,Westchester County
10583,Standard,"Scarsdale, Heathcote",Westchester County
10587,PO Box,Shenorock,Westchester County
10588,Standard,Shrub Oak,Westchester County
10589,Standard,Somers,Westchester County
10590,Standard,South Salem,Westchester County
10591,Standard,"Tarrytown, N Tarrytown, North Tarrytown, Sleepy Hol...",Westchester County
10594,Standard,Thornwood,Westchester County
10595,Standard,Valhalla,Westchester County
10596,PO Box,Verplanck,Westchester County
10597,Standard,Waccabuc,Westchester County
10598,Standard,"Yorktown Heights, Yorktown Hts",Westchester County
10601,Standard,White Plains,Westchester County
10602,PO Box,White Plains,Westchester County
10603,Standard,"White Plains, N White Plains, N White Plns",Westchester County
10604,Standard,"West Harrison, W Harrison, White Plains",Westchester County
10605,Standard,White Plains,Westchester County
10606,Standard,White Plains,Westchester County
10607,Standard,White Plains,Westchester County
10610,PO Box,White Plains,Westchester County
10701,Standard,Yonkers,Westchester County
10702,PO Box,Yonkers,Westchester County
10703,Standard,Yonkers,Westchester County
10704,Standard,Yonkers,Westchester County
10705,Standard,Yonkers,Westchester County
10706,Standard,"Hastings On Hudson, Hastings Hdsn, Yonkers",Westchester County
10707,Standard,"Tuckahoe, Eastchester, Yonkers",Westchester County
10708,Standard,"Bronxville, Yonkers",Westchester County
10709,Standard,"Eastchester, Yonkers",Westchester County
10710,Standard,Yonkers,Westchester County
10801,Standard,New Rochelle,Westchester County
10802,PO Box,New Rochelle,Westchester County
10803,Standard,Pelham,Westchester County
10804,Standard,"New Rochelle, Wykagyl",Westchester County
10805,Standard,New Rochelle,Westchester County
10901,Standard,"Suffern, Airmont, Montebello",Rockland County
10910,PO Box,Arden,Orange County
10911,Standard,Bear Mountain,Orange County
10912,PO Box,Bellvale,Orange County
10913,Standard,Blauvelt,Rockland County
10914,PO Box,"Blooming Grove, Blooming Grv, S Bloomng Grv",Orange County
10915,PO Box,Bullville,Orange County
10916,Standard,Campbell Hall,Orange County
10917,Standard,"Central Valley, Central Vly",Orange County
10918,Standard,"Chester, Mediacom Park",Orange County
10919,Standard,Circleville,Orange County
10920,Standard,Congers,Rockland County
10921,Standard,Florida,Orange County
10922,PO Box,"Fort Montgomery, Ft Montgomery",Orange County
10923,Standard,Garnerville,Rockland County
10924,Standard,Goshen,Orange County
10925,Standard,"Greenwood Lake, Greenwood Lk",Orange County
10926,Standard,Harriman,Orange County
10927,Standard,Haverstraw,Rockland County
10928,Standard,"Highland Falls, Highland Fls",Orange County
10930,Standard,"Highland Mills, Highland Mls",Orange County
10931,Standard,Hillburn,Rockland County
10932,PO Box,Howells,Orange County
10933,PO Box,Johnson,Orange County
10940,Standard,"Middletown, Scotchtown",Orange County
10941,Standard,"Middletown, Scotchtown",Orange County
10943,Unique,Middletown,Orange County
10949,PO Box,Monroe,Orange County
10950,Standard,"Monroe, Kiryas Joel, Palm Tree, Twn Palm Tree",Orange County
10952,Standard,"Monsey, Airmont, Kaser",Rockland County
10953,PO Box,Mountainville,Orange County
10954,Standard,"Nanuet, Bardonia",Rockland County
10956,Standard,New City,Rockland County
10958,Standard,New Hampton,Orange County
10959,PO Box,New Milford,Orange County
10960,Standard,"Nyack, Grandview On Hudson, Grnd Vw Hudsn",Rockland County
10962,Standard,Orangeburg,Rockland County
10963,Standard,Otisville,Orange County
10964,Standard,Palisades,Rockland County
10965,Standard,Pearl River,Rockland County
10968,Standard,Piermont,Rockland County
10969,Standard,Pine Island,Orange County
10970,Standard,Pomona,Rockland County
10973,Standard,Slate Hill,Orange County
10974,Standard,Sloatsburg,Rockland County
10975,Standard,Southfields,Orange County
10976,Standard,Sparkill,Rockland County
10977,Standard,"Spring Valley, Chestnut Rdg, Chestnut Ridge, New Square",Rockland County
10979,PO Box,"Sterling Forest, Sterling Frst",Orange County
10980,Standard,Stony Point,Rockland County
10981,PO Box,Sugar Loaf,Orange County
10982,PO Box,Tallman,Rockland County
